GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,LHT001,LHT002,LHT003,LHT004
"G0200680","2010","4","9","Alaska","02","Denali Borough","068",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Denali Borough",806,273,331,202
"G0200700","2010","4","9","Alaska","02","Dillingham Census Area","070",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Dillingham Census Area",1563,337,597,629
"G0200900","2010","4","9","Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,"21820","99999","999",,,,,,,,,,,,"Fairbanks North Star Borough",36441,14725,6685,15031
"G0201000","2010","4","9","Alaska","02","Haines Borough","100",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Haines Borough",1149,418,404,327
"G0201050","2010","4","9","Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Hoonah-Angoon Census Area",913,219,404,290
"G0201100","2010","4","9","Alaska","02","Juneau City and Borough","110",,,,,,,,,,,"27940","99999","999",,,,,,,,,,,,"Juneau City and Borough",12187,5514,2076,4597
"G0201220","2010","4","9","Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Kenai Peninsula Borough",22161,10109,6137,5915
"G0201300","2010","4","9","Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,"28540","99999","999",,,,,,,,,,,,"Ketchikan Gateway Borough",5305,2144,932,2229
"G0201500","2010","4","9","Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,"28980","99999","999",,,,,,,,,,,,"Kodiak Island Borough",4630,1857,791,1982
"G0201640","2010","4","9","Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Lake and Peninsula Borough",553,70,281,202
"G0201700","2010","4","9","Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,"11260","99999","999",,,,,,,,,,,,"Matanuska-Susitna Borough",31824,17699,6482,7643
"G0201800","2010","4","9","Alaska","02","Nome Census Area","180",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Nome Census Area",2815,592,929,1294
"G0201850","2010","4","9","Alaska","02","North Slope Borough","185",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"North Slope Borough",2029,370,597,1062
"G0201880","2010","4","9","Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Northwest Arctic Borough",1919,314,658,947
"G0201950","2010","4","9","Alaska","02","Petersburg Census Area","195",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Petersburg Census Area",1599,567,530,502
"G0201980","2010","4","9","Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Prince of Wales-Hyder Census Area",2194,500,1018,676
"G0202200","2010","4","9","Alaska","02","Sitka City and Borough","220",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Sitka City and Borough",3545,1286,764,1495
"G0202300","2010","4","9","Alaska","02","Skagway Municipality","230",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Skagway Municipality",436,145,96,195
"G0202400","2010","4","9","Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Southeast Fairbanks Census Area",2567,643,1086,838
"G0202610","2010","4","9","Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Valdez-Cordova Census Area",3966,1254,1365,1347
"G0202700","2010","4","9","Alaska","02","Wade Hampton Census Area","270",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Wade Hampton Census Area",1745,255,992,498
"G0202750","2010","4","9","Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Wrangell City and Borough",1053,339,360,354
"G0202820","2010","4","9","Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Yakutat City and Borough",270,69,84,117
"G0202900","2010","4","9","Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Yukon-Koyukuk Census Area",2217,232,1352,633
"G0400010","2010","4","8","Arizona","04","Apache County","001",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Apache County",22771,4529,12595,5647
"G0400030","2010","4","8","Arizona","04","Cochise County","003",,,,,,,,,,,"43420","99999","999",,,,,,,,,,,,"Cochise County",50865,21838,12873,16154
"G0400050","2010","4","8","Arizona","04","Coconino County","005",,,,,,,,,,,"22380","99999","999",,,,,,,,,,,,"Coconino County",46711,17618,10825,18268
"G0400070","2010","4","8","Arizona","04","Gila County","007",,,,,,,,,,,"37740","99999","999",,,,,,,,,,,,"Gila County",22000,8366,8393,5241
"G0400090","2010","4","8","Arizona","04","Graham County","009",,,,,,,,,,,"40940","99999","999",,,,,,,,,,,,"Graham County",11120,4570,3519,3031
"G0400110","2010","4","8","Arizona","04","Greenlee County","011",,,,,,,,,,,"40940","99999","999",,,,,,,,,,,,"Greenlee County",3188,648,945,1595
"G0400120","2010","4","8","Arizona","04","La Paz County","012",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"La Paz County",9198,2268,4804,2126
"G0400130","2010","4","8","Arizona","04","Maricopa County","013",,,,,,,,,,,"38060","99999","999",,,,,,,,,,,,"Maricopa County",1411583,707409,202911,501263
"G0400150","2010","4","8","Arizona","04","Mohave County","015",,,,,,,,,,,"29420","99999","999",,,,,,,,,,,,"Mohave County",82539,35207,22521,24811
"G0400170","2010","4","8","Arizona","04","Navajo County","017",,,,,,,,,,,"43320","99999","999",,,,,,,,,,,,"Navajo County",35658,11664,13988,10006
"G0400190","2010","4","8","Arizona","04","Pima County","019",,,,,,,,,,,"46060","99999","999",,,,,,,,,,,,"Pima County",388660,174056,74914,139690
"G0400210","2010","4","8","Arizona","04","Pinal County","021",,,,,,,,,,,"38060","99999","999",,,,,,,,,,,,"Pinal County",125590,67766,27863,29961
"G0400230","2010","4","8","Arizona","04","Santa Cruz County","023",,,,,,,,,,,"35700","99999","999",,,,,,,,,,,,"Santa Cruz County",15437,7503,2925,5009
"G0400250","2010","4","8","Arizona","04","Yavapai County","025",,,,,,,,,,,"39140","99999","999",,,,,,,,,,,,"Yavapai County",90903,40753,23613,26537
"G0400270","2010","4","8","Arizona","04","Yuma County","027",,,,,,,,,,,"49740","99999","999",,,,,,,,,,,,"Yuma County",64767,28467,16336,19964
"G0500010","2010","3","7","Arkansas","05","Arkansas County","001",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Arkansas County",8005,2798,2432,2775
"G0500030","2010","3","7","Arkansas","05","Ashley County","003",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Ashley County",8765,3109,3252,2404
"G0500050","2010","3","7","Arkansas","05","Baxter County","005",,,,,,,,,,,"34260","99999","999",,,,,,,,,,,,"Baxter County",18748,7604,6724,4420
"G0500070","2010","3","7","Arkansas","05","Benton County","007",,,,,,,,,,,"22220","99999","999",,,,,,,,,,,,"Benton County",82087,41797,14182,26108
"G0500090","2010","3","7","Arkansas","05","Boone County","009",,,,,,,,,,,"25460","99999","999",,,,,,,,,,,,"Boone County",15120,6400,4641,4079
"G0500110","2010","3","7","Arkansas","05","Bradley County","011",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Bradley County",4673,1538,1742,1393
"G0500130","2010","3","7","Arkansas","05","Calhoun County","013",,,,,,,,,,,"15780","99999","999",,,,,,,,,,,,"Calhoun County",2262,767,992,503
"G0500150","2010","3","7","Arkansas","05","Carroll County","015",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Carroll County",11393,4656,3468,3269
"G0500170","2010","3","7","Arkansas","05","Chicot County","017",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Chicot County",4579,1310,1644,1625
"G0500190","2010","3","7","Arkansas","05","Clark County","019",,,,,,,,,,,"11660","99999","999",,,,,,,,,,,,"Clark County",8783,2972,2670,3141
"G0500210","2010","3","7","Arkansas","05","Clay County","021",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Clay County",6845,2356,2605,1884
"G0500230","2010","3","7","Arkansas","05","Cleburne County","023",,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,"Cleburne County",11078,4370,4145,2563
"G0500250","2010","3","7","Arkansas","05","Cleveland County","025",,,,,,,,,,,"38220","99999","340",,,,,,,,,,,,"Cleveland County",3416,1300,1409,707
"G0500270","2010","3","7","Arkansas","05","Columbia County","027",,,,,,,,,,,"31620","99999","999",,,,,,,,,,,,"Columbia County",9759,3269,3241,3249
