GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JM0E001,JM0E002,JM0E003,JM0E004,JM0E005,JM0E006,JM0E007,JM0E008,JM0E009,JM0E010,JM0E011,JM0E012,JM0E013,JM0E014,JM0E015,JM0E016,JM0E017,JM0E018,JM0E019,JM0E020,JM0E021,JT5E001,JT5E002,JT5E003,NAME_M,JM0M001,JM0M002,JM0M003,JM0M004,JM0M005,JM0M006,JM0M007,JM0M008,JM0M009,JM0M010,JM0M011,JM0M012,JM0M013,JM0M014,JM0M015,JM0M016,JM0M017,JM0M018,JM0M019,JM0M020,JM0M021,JT5M001,JT5M002,JT5M003
"G2800850","2006-2010",,,"Mississippi","28","Lincoln County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Mississippi",13303,12646,11392,1254,848,253,133,0,20,27,0,0,0,27,0,0,47,0,191,126,266,34622,1634,32988,"Lincoln County, Mississippi",588,606,604,246,236,106,74,127,32,47,127,127,127,47,127,127,45,127,119,66,123,-1,-1,-1
"G2800870","2006-2010",,,"Mississippi","28","Lowndes County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Mississippi",24529,23329,20609,2720,2332,221,94,73,0,103,98,0,0,0,5,46,83,21,492,126,329,59482,2630,56852,"Lowndes County, Mississippi",730,712,728,381,336,105,87,50,127,57,56,127,127,127,7,43,59,26,145,97,92,-1,-1,-1
"G2800890","2006-2010",,,"Mississippi","28","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Mississippi",43088,40873,37036,3837,2891,334,168,227,217,23,23,0,0,0,0,27,58,49,284,369,1405,91987,6131,85856,"Madison County, Mississippi",850,832,870,438,409,106,90,248,99,25,25,127,127,127,127,42,39,56,137,164,224,-1,-1,-1
"G2800910","2006-2010",,,"Mississippi","28","Marion County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Mississippi",9409,8666,7417,1249,1068,138,37,6,0,31,31,0,0,0,0,0,17,0,265,161,269,26758,1073,25685,"Marion County, Mississippi",495,506,539,313,286,86,39,10,127,35,35,127,127,127,127,127,20,127,125,75,101,-1,-1,-1
"G2800930","2006-2010",,,"Mississippi","28","Marshall County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Mississippi",14190,13558,11693,1865,1433,182,148,79,23,24,24,0,0,0,0,0,17,4,286,191,110,37002,2071,34931,"Marshall County, Mississippi",824,835,911,392,345,150,116,74,39,28,28,127,127,127,127,127,30,8,210,118,90,-1,-1,-1
"G2800950","2006-2010",,,"Mississippi","28","Monroe County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Mississippi",14825,14298,12534,1764,1337,299,51,62,15,52,44,8,0,0,0,0,10,0,147,126,192,37282,1840,35442,"Monroe County, Mississippi",475,493,564,290,257,131,42,80,25,39,38,14,127,127,127,127,16,127,88,75,77,-1,-1,-1
"G2800970","2006-2010",,,"Mississippi","28","Montgomery County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Mississippi",4052,3899,3310,589,314,146,59,58,12,0,0,0,0,0,0,0,0,15,29,28,81,11138,321,10817,"Montgomery County, Mississippi",332,325,375,173,113,91,55,57,15,127,127,127,127,127,127,127,127,24,28,44,69,-1,-1,-1
"G2800990","2006-2010",,,"Mississippi","28","Neshoba County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Neshoba County, Mississippi",10992,10134,8299,1835,1434,285,55,46,15,130,130,0,0,0,0,0,0,0,198,233,297,29545,1589,27956,"Neshoba County, Mississippi",477,469,487,297,260,122,36,40,18,94,94,127,127,127,127,127,127,127,95,140,139,-1,-1,-1
"G2801010","2006-2010",,,"Mississippi","28","Newton County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newton County, Mississippi",8808,8278,7203,1075,879,110,44,42,0,7,7,0,0,0,0,0,0,24,265,67,167,21828,1278,20550,"Newton County, Mississippi",427,431,434,246,240,69,27,38,127,13,13,127,127,127,127,127,127,29,130,42,95,-1,-1,-1
"G2801030","2006-2010",,,"Mississippi","28","Noxubee County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Noxubee County, Mississippi",3541,3216,2692,524,353,85,44,42,0,108,108,0,0,0,0,0,0,0,83,25,109,11747,279,11468,"Noxubee County, Mississippi",352,341,368,168,143,88,41,42,127,80,80,127,127,127,127,127,127,127,53,21,63,-1,-1,-1
