GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7W001,H7W002,H7W003,H7W004,H7W005,H7W006,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G0100830","2010","3","6","Alabama","01","Limestone County","083",,,,,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,,,"Limestone County",,82782,82782,35092,10136,24956,47690,0,82782,66506,10429,547,924,42,2866,1468
"G0100850","2010","3","6","Alabama","01","Lowndes County","085",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Lowndes County",,11299,11299,0,0,0,11299,0,11299,2859,8310,25,14,0,31,60
"G0100870","2010","3","6","Alabama","01","Macon County","087",,,,,,,,,,,,,,"46260","99999","194",,,,,,,,,,,,,,"Macon County",,21452,21452,9536,0,9536,11916,0,21452,3319,17729,29,76,2,69,228
"G0100890","2010","3","6","Alabama","01","Madison County","089",,,,,,,,,,,,,,"26620","99999","290",,,,,,,,,,,,,,"Madison County",,334811,334811,279763,276556,3207,55048,0,334811,228280,80376,2551,8265,365,6719,8255
"G0100910","2010","3","6","Alabama","01","Marengo County","091",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marengo County",,21027,21027,6452,0,6452,14575,0,21027,9751,10872,34,53,13,140,164
"G0100930","2010","3","6","Alabama","01","Marion County","093",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Marion County",,30776,30776,3430,0,3430,27346,0,30776,28791,1184,101,54,14,291,341
"G0100950","2010","3","6","Alabama","01","Marshall County","095",,,,,,,,,,,,,,"10700","99999","999",,,,,,,,,,,,,,"Marshall County",,93019,93019,43469,0,43469,49550,0,93019,81464,1494,706,478,103,7210,1564
"G0100970","2010","3","6","Alabama","01","Mobile County","097",,,,,,,,,,,,,,"33660","99999","380",,,,,,,,,,,,,,"Mobile County",,412992,412992,330310,326183,4127,82682,0,412992,248647,142992,3681,7561,204,3885,6022
"G0100990","2010","3","6","Alabama","01","Monroe County","099",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Monroe County",,23068,23068,4834,0,4834,18234,0,23068,12718,9614,260,67,9,66,334
"G0101010","2010","3","6","Alabama","01","Montgomery County","101",,,,,,,,,,,,,,"33860","99999","388",,,,,,,,,,,,,,"Montgomery County",,229363,229363,205300,205300,0,24063,0,229363,90656,125477,589,4821,171,4743,2906
"G0101030","2010","3","6","Alabama","01","Morgan County","103",,,,,,,,,,,,,,"19460","99999","290",,,,,,,,,,,,,,"Morgan County",,119490,119490,73370,70364,3006,46120,0,119490,95404,14185,1042,691,107,5697,2364
"G0101050","2010","3","6","Alabama","01","Perry County","105",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Perry County",,10591,10591,0,0,0,10591,0,10591,3204,7276,17,30,5,16,43
"G0101070","2010","3","6","Alabama","01","Pickens County","107",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Pickens County",,19746,19746,0,0,0,19746,0,19746,11110,8211,28,36,1,128,232
"G0101090","2010","3","6","Alabama","01","Pike County","109",,,,,,,,,,,,,,"45980","99999","999",,,,,,,,,,,,,,"Pike County",,32899,32899,15897,0,15897,17002,0,32899,19144,12054,192,654,24,341,490
"G0101110","2010","3","6","Alabama","01","Randolph County","111",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Randolph County",,22913,22913,4275,0,4275,18638,0,22913,17532,4607,84,55,5,369,261
"G0101130","2010","3","6","Alabama","01","Russell County","113",,,,,,,,,,,,,,"17980","99999","194",,,,,,,,,,,,,,"Russell County",,52947,52947,34199,34199,0,18748,0,52947,28449,22135,219,236,113,691,1104
"G0101150","2010","3","6","Alabama","01","St. Clair County","115",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"St. Clair County",,83593,83593,22740,8869,13871,60853,0,83593,73741,7150,281,518,46,734,1123
"G0101170","2010","3","6","Alabama","01","Shelby County","117",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Shelby County",,195085,195085,150323,147681,2642,44762,0,195085,161943,20732,553,3726,74,5373,2684
"G0101190","2010","3","6","Alabama","01","Sumter County","119",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Sumter County",,13763,13763,0,0,0,13763,0,13763,3326,10316,11,33,4,26,47
"G0101210","2010","3","6","Alabama","01","Talladega County","121",,,,,,,,,,,,,,"45180","99999","999",,,,,,,,,,,,,,"Talladega County",,82291,82291,36360,4876,31484,45931,0,82291,53739,26055,264,339,6,787,1101
"G0101230","2010","3","6","Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,"10760","99999","388",,,,,,,,,,,,,,"Tallapoosa County",,41616,41616,10726,0,10726,30890,0,41616,29087,11083,121,197,8,713,407
"G0101250","2010","3","6","Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,"46220","99999","999",,,,,,,,,,,,,,"Tuscaloosa County",,194656,194656,145003,139114,5889,49653,0,194656,129004,57611,526,2306,117,2993,2099
"G0101270","2010","3","6","Alabama","01","Walker County","127",,,,,,,,,,,,,,"13820","99999","142",,,,,,,,,,,,,,"Walker County",,67023,67023,17367,0,17367,49656,0,67023,61146,3928,251,195,36,639,828
"G0101290","2010","3","6","Alabama","01","Washington County","129",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Washington County",,17581,17581,0,0,0,17581,0,17581,11508,4380,1411,20,12,43,207
"G0101310","2010","3","6","Alabama","01","Wilcox County","131",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Wilcox County",,11670,11670,0,0,0,11670,0,11670,3126,8465,14,4,1,9,51
"G0101330","2010","3","6","Alabama","01","Winston County","133",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Winston County",,24484,24484,3699,0,3699,20785,0,24484,23409,115,163,60,28,356,353
"G0200130","2010","4","9","Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Aleutians East Borough",,3141,3141,0,0,0,3141,0,3141,660,219,876,1130,19,84,153
"G0200160","2010","4","9","Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Aleutians West Census Area",,5561,5561,0,0,0,5561,0,5561,2004,332,857,1606,103,348,311
