GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IXME001,IXME002,IXME003,IXME004,IXME005,IXME006,IXME007,IXME008,IXME009,IXME010,IXME011,IXME012,IXME013,IXME014,IXME015,IXME016,IXME017,IXME018,IXME019,IXME020,IXME021,IXME022,IXME023,IXME024,IXME025,IX2E001,IX2E002,IX2E003,IX2E004,IX2E005,IX2E006,IX2E007,IX2E008,IX2E009,IX2E010,IX2E011,IX2E012,IX2E013,I6IE001,NAME_M,IXMM001,IXMM002,IXMM003,IXMM004,IXMM005,IXMM006,IXMM007,IXMM008,IXMM009,IXMM010,IXMM011,IXMM012,IXMM013,IXMM014,IXMM015,IXMM016,IXMM017,IXMM018,IXMM019,IXMM020,IXMM021,IXMM022,IXMM023,IXMM024,IXMM025,IX2M001,IX2M002,IX2M003,IX2M004,IX2M005,IX2M006,IX2M007,IX2M008,IX2M009,IX2M010,IX2M011,IX2M012,IX2M013,I6IM001
"G2100150","2010",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,"Boone County, Kentucky",76728,593,0,0,55,0,67,73,55,202,116,1188,1060,519,2473,895,18198,2721,5789,11674,6567,15270,7317,1206,690,,,,,,,,,,,,,,29010,"Boone County, Kentucky",634,334,271,271,97,271,126,122,90,240,135,519,728,380,947,551,2052,834,1130,1794,1290,1561,1366,587,370,,,,,,,,,,,,,,2639
"G2100290","2010",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,"Bullitt County, Kentucky",49483,499,0,0,0,64,82,93,70,0,365,766,1236,2614,1435,484,15966,5110,4621,6985,3578,4017,1297,42,159,,,,,,,,,,,,,,21952,"Bullitt County, Kentucky",289,280,271,271,271,115,95,105,84,271,250,333,502,945,610,329,1629,690,1092,1136,833,948,484,72,175,,,,,,,,,,,,,,1292
"G2100370","2010",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,"Campbell County, Kentucky",59362,345,0,0,0,0,56,59,92,212,51,1608,894,2054,1472,715,16036,3663,3736,8652,4445,9899,4014,907,452,,,,,,,,,,,,,,23650,"Campbell County, Kentucky",616,253,271,271,271,271,71,97,103,257,83,581,503,783,605,408,1862,779,975,1168,965,1470,1018,464,287,,,,,,,,,,,,,,1187
"G2100470","2010",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,"Christian County, Kentucky",42694,301,0,0,0,0,0,23,44,212,239,971,773,1424,1294,366,12145,3108,4536,7933,3550,3633,1757,291,94,,,,,,,,,,,,,,19814,"Christian County, Kentucky",1058,258,271,271,271,271,271,40,73,179,178,458,572,661,697,264,1471,839,1075,1646,984,928,586,233,109,,,,,,,,,,,,,,2404
"G2100590","2010",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,"Daviess County, Kentucky",64665,268,0,0,0,0,91,39,107,227,392,1342,1218,2104,1858,780,22390,4073,5272,7862,4989,6961,3385,1034,273,,,,,,,,,,,,,,20028,"Daviess County, Kentucky",431,253,271,271,271,271,144,64,128,188,337,607,573,726,691,380,1932,902,1200,1275,1121,1385,729,517,234,,,,,,,,,,,,,,1119
"G2100670","2010",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,"Fayette County, Kentucky",191595,1718,0,83,67,197,428,253,767,1691,841,2734,3405,3419,4951,2306,35781,8066,9329,30065,15337,40500,18050,6420,5187,278057,246671,16562,891,570,1212,4086,0,2103,1717,0,2323,1922,25561,"Fayette County, Kentucky",893,574,271,151,112,240,441,280,553,686,522,786,954,851,1398,666,3026,1657,1599,2918,2090,3060,1820,1439,1052,340,2826,1238,936,390,686,1702,271,900,1449,271,1115,989,1150
"G2100930","2010",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,"Hardin County, Kentucky",66694,330,0,0,42,0,65,42,82,312,238,1443,837,1590,1213,867,17757,4224,6583,10366,7055,7628,4393,1468,159,,,,,,,,,,,,,,23744,"Hardin County, Kentucky",1636,223,271,271,71,271,113,71,121,212,209,562,435,695,567,484,2482,1195,1238,1621,1567,1308,1122,824,191,,,,,,,,,,,,,,2191
"G2101110","2010",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,"Jefferson County, Kentucky",503190,3699,39,89,62,109,699,395,711,2250,2685,7904,9018,13918,13405,8860,113536,25344,33795,80709,33548,93748,41609,11927,5131,693558,637750,24758,1452,2418,4597,4794,496,1831,3852,2011,3802,5797,25612,"Jefferson County, Kentucky",877,1149,67,143,104,128,479,324,446,723,1387,1294,1520,1901,2058,1228,4521,2603,2659,4520,2595,4225,2988,1832,1115,193,3732,1903,582,980,2208,1817,541,1008,1361,1300,2064,1985,677
"G2101170","2010",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,"Kenton County, Kentucky",106286,1248,0,0,158,0,97,46,40,840,375,1278,1712,2501,3322,1973,28010,6332,6732,15524,7014,19262,7317,1905,600,,,,,,,,,,,,,,25407,"Kenton County, Kentucky",995,784,271,271,240,271,180,75,66,498,252,482,636,853,1018,645,2591,1202,1117,1924,1439,1970,1063,730,368,,,,,,,,,,,,,,1319
"G2101450","2010",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,"McCracken County, Kentucky",46477,274,0,173,0,0,177,0,147,309,127,1031,572,1364,1117,463,12139,2596,3966,7975,3839,6320,2451,1244,193,,,,,,,,,,,,,,24813,"McCracken County, Kentucky",606,236,271,245,271,271,263,271,163,309,141,468,303,661,565,286,1732,665,1065,1343,880,1378,846,513,211,,,,,,,,,,,,,,2340
"G2101510","2010",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,"Madison County, Kentucky",51364,542,0,0,265,0,161,56,176,347,412,1774,870,1553,835,563,10827,3565,3117,7256,4099,8709,4100,898,1239,,,,,,,,,,,,,,21152,"Madison County, Kentucky",1063,335,271,271,396,271,164,96,211,343,350,636,576,722,540,279,1560,839,814,1592,1068,1635,1136,469,553,,,,,,,,,,,,,,1591
"G2101950","2010",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,"Pike County, Kentucky",45177,949,0,0,119,44,420,58,272,1048,753,3498,2225,2647,1886,1243,15312,2260,2088,5153,1506,1797,1193,481,225,,,,,,,,,,,,,,16785,"Pike County, Kentucky",304,476,271,271,180,79,304,110,224,602,576,943,748,926,800,559,1772,740,818,986,585,642,502,294,175,,,,,,,,,,,,,,1328
"G2102270","2010",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,"Warren County, Kentucky",68844,329,0,58,0,0,28,414,191,810,587,1873,1366,884,1856,1080,17758,3505,4703,9695,4867,11407,4973,1004,1456,106837,96959,4032,156,275,2329,127,85,267,531,0,1238,838,22321,"Warren County, Kentucky",885,241,271,103,271,271,53,387,236,515,327,692,511,477,583,565,1993,940,939,1746,1067,1862,1018,488,656,237,1844,780,258,175,1578,208,56,353,643,271,808,808,2509
"G2200050","2010",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,"Ascension Parish, Louisiana",67593,408,0,0,282,0,0,94,0,626,288,415,2320,930,1345,586,21461,4626,4146,9111,4868,11345,3479,908,355,,,,,,,,,,,,,,26804,"Ascension Parish, Louisiana",728,336,281,281,348,281,281,131,281,529,278,273,858,462,1001,402,1892,1068,1142,1557,1135,1985,1014,601,345,,,,,,,,,,,,,,1981
"G2200150","2010",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,"Bossier Parish, Louisiana",75978,982,0,0,0,369,85,23,369,1063,707,436,1192,3108,1787,874,22142,4344,4404,13500,5583,9854,4295,623,238,,,,,,,,,,,,,,25119,"Bossier Parish, Louisiana",731,501,281,281,281,473,140,48,350,635,512,294,596,1030,627,502,2098,1041,838,1769,1327,1658,1154,326,206,,,,,,,,,,,,,,1955
"G2200170","2010",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,"Caddo Parish, Louisiana",167503,1211,0,0,150,258,224,467,455,1001,747,1989,2040,5249,6123,2214,51598,7135,10302,28365,11304,23395,8757,3496,1023,237841,227091,4439,1624,420,0,1509,40,103,113,558,1241,703,21641,"Caddo Parish, Louisiana",514,500,281,281,236,244,232,469,302,492,469,706,834,1156,1506,651,2957,1575,1542,2829,1640,2016,1466,886,514,159,2247,1428,657,344,281,857,81,165,175,474,1041,479,990
"G2200190","2010",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,"Calcasieu Parish, Louisiana",124393,2068,0,0,0,0,261,179,178,1346,832,1811,3125,4562,4771,1352,37783,5316,7366,19440,9408,17430,5303,1089,773,179594,165003,3797,8216,271,0,965,0,453,179,140,512,58,22934,"Calcasieu Parish, Louisiana",493,684,281,281,281,281,202,181,176,661,370,558,1022,1383,1157,591,2929,1012,1106,2144,1474,2011,1145,519,404,409,2444,1088,2043,207,281,697,281,406,191,158,447,99,1568
"G2200330","2010",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,"East Baton Rouge Parish, Louisiana",273954,2377,0,0,74,150,503,273,653,1467,803,2773,3480,5391,10074,4656,57289,11217,16658,50238,10757,60210,22012,6535,6364,411386,380075,12912,4521,752,887,2516,352,3583,3732,587,836,633,26287,"East Baton Rouge Parish, Louisiana",606,931,281,281,117,176,537,237,491,685,406,974,1062,1536,1676,1091,4331,1818,2184,3312,1934,3617,2606,1500,1134,112,2550,1673,1020,449,597,1184,272,1441,1246,567,552,480,1154
"G2200450","2010",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,"Iberia Parish, Louisiana",45381,1197,0,0,0,146,52,112,180,335,580,1251,1292,1967,3208,734,15103,2759,2967,4276,1763,5373,1512,574,0,,,,,,,,,,,,,,19832,"Iberia Parish, Louisiana",734,482,281,281,281,142,99,137,163,224,303,597,522,746,1086,375,1558,761,987,1000,628,1357,670,387,281,,,,,,,,,,,,,,1671
