GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,IXME001,IXME002,IXME003,IXME004,IXME005,IXME006,IXME007,IXME008,IXME009,IXME010,IXME011,IXME012,IXME013,IXME014,IXME015,IXME016,IXME017,IXME018,IXME019,IXME020,IXME021,IXME022,IXME023,IXME024,IXME025,IX2E001,IX2E002,IX2E003,IX2E004,IX2E005,IX2E006,IX2E007,IX2E008,IX2E009,IX2E010,IX2E011,IX2E012,IX2E013,I6IE001,NAME_M,IXMM001,IXMM002,IXMM003,IXMM004,IXMM005,IXMM006,IXMM007,IXMM008,IXMM009,IXMM010,IXMM011,IXMM012,IXMM013,IXMM014,IXMM015,IXMM016,IXMM017,IXMM018,IXMM019,IXMM020,IXMM021,IXMM022,IXMM023,IXMM024,IXMM025,IX2M001,IX2M002,IX2M003,IX2M004,IX2M005,IX2M006,IX2M007,IX2M008,IX2M009,IX2M010,IX2M011,IX2M012,IX2M013,I6IM001
"G2700030","2010",,,"Minnesota","27","Anoka County","003",,,,,,,,,,,,,,,,,"Anoka County, Minnesota",218083,1403,0,53,57,91,0,60,0,170,71,1171,1136,2609,3079,2142,55457,8759,18544,36988,26754,41659,14060,2619,1201,308824,277536,8670,1293,1717,3929,1485,329,675,1154,150,6970,4916,29079,"Anoka County, Minnesota",920,589,211,87,93,114,211,100,211,273,87,512,481,756,773,710,3167,1288,1958,2608,2092,2868,1710,713,509,326,3404,1433,898,659,2236,803,310,460,773,141,2033,1849,1144
"G2700190","2010",,,"Minnesota","27","Carver County","019",,,,,,,,,,,,,,,,,"Carver County, Minnesota",58567,117,0,0,0,50,0,0,0,174,0,428,290,272,285,524,12043,1024,3864,8356,6402,17746,5343,1235,414,,,,,,,,,,,,,,32367,"Carver County, Minnesota",753,128,211,211,211,88,211,211,211,212,211,224,288,207,213,270,1331,402,776,1111,1175,1957,945,505,264,,,,,,,,,,,,,,2321
"G2700370","2010",,,"Minnesota","27","Dakota County","037",,,,,,,,,,,,,,,,,"Dakota County, Minnesota",262415,1937,0,0,0,83,67,50,94,870,216,1298,1135,2870,2291,2457,52955,6344,18407,42537,26512,72691,22221,5327,2053,371441,326461,17756,1197,820,2733,3346,755,2097,2697,596,4716,8267,32613,"Dakota County, Minnesota",927,725,211,211,211,142,110,83,113,584,234,621,468,1018,729,686,3297,1312,2028,2760,2162,3287,2167,882,589,148,4112,2178,445,318,995,1180,541,1366,1388,412,2106,2608,1095
"G2700530","2010",,,"Minnesota","27","Hennepin County","053",,,,,,,,,,,,,,,,,"Hennepin County, Minnesota",779268,8892,46,78,735,550,774,1504,1497,5535,985,5194,5778,7389,11940,10353,129949,20216,41420,118001,63169,228950,78663,24250,13400,1078649,901156,61062,6161,5133,7182,16036,696,6646,8713,2075,27005,36784,34322,"Hennepin County, Minnesota",400,1591,76,131,785,471,502,940,580,1394,445,1298,1640,1493,1890,1525,5111,2256,2718,5400,3607,6423,3629,2254,1814,392,7256,4242,1693,1270,1770,2615,495,1871,2806,1399,3780,4949,760
"G2701090","2010",,,"Minnesota","27","Olmsted County","109",,,,,,,,,,,,,,,,,"Olmsted County, Minnesota",97210,196,0,0,0,0,59,67,0,0,172,352,676,813,1762,1459,20143,2350,6172,14513,10903,22802,8821,4277,1673,133410,118594,4214,517,362,853,2202,108,1148,470,304,2060,2578,31649,"Olmsted County, Minnesota",782,248,211,211,211,211,99,94,211,211,190,164,498,472,826,700,1777,700,1024,1571,1114,1860,1217,943,648,455,1833,750,347,268,629,1203,195,806,482,346,1018,1203,1551
"G2701230","2010",,,"Minnesota","27","Ramsey County","123",,,,,,,,,,,,,,,,,"Ramsey County, Minnesota",330519,9267,29,0,143,354,306,259,624,2650,846,2739,3831,3663,5211,4516,70283,10693,18314,48645,24168,73618,32874,10007,7479,474507,379215,25153,2528,2141,1573,4731,470,5232,3826,767,33671,15200,27303,"Ramsey County, Minnesota",532,1725,50,211,172,394,312,331,399,1293,502,996,1485,978,1158,1014,4399,1679,1690,3115,2663,3266,2828,1549,1119,228,4589,2215,828,839,892,1679,316,1763,1344,541,2528,2749,837
"G2701370","2010",,,"Minnesota","27","St. Louis County","137",,,,,,,,,,,,,,,,,"St. Louis County, Minnesota",136341,656,0,0,0,0,0,42,0,174,119,1539,1495,1721,1923,2035,35539,4895,11632,22318,16172,24781,7054,2900,1346,189347,182477,2787,274,561,543,757,22,100,476,72,60,1218,24372,"St. Louis County, Minnesota",754,347,211,211,211,211,211,70,211,154,111,453,493,595,622,610,1860,1020,1468,1794,1712,1957,1031,713,488,397,1343,753,184,287,433,526,42,85,455,140,100,525,944
"G2701390","2010",,,"Minnesota","27","Scott County","139",,,,,,,,,,,,,,,,,"Scott County, Minnesota",82891,229,0,0,0,0,55,49,34,335,19,1475,531,679,905,716,18478,2423,5372,12010,8134,22527,7187,1173,560,119393,103649,5362,663,456,2008,1497,0,396,1714,113,2790,745,32085,"Scott County, Minnesota",577,230,211,211,211,211,94,80,56,421,32,563,552,342,507,324,1680,753,887,1503,1245,1717,1132,485,281,706,1811,789,704,292,1192,1182,211,407,1017,188,904,578,1382
"G2701410","2010",,,"Minnesota","27","Sherburne County","141",,,,,,,,,,,,,,,,,"Sherburne County, Minnesota",55079,22,0,0,0,0,0,0,0,86,10,270,354,930,784,725,11063,2381,4491,12226,7306,9447,3704,832,448,,,,,,,,,,,,,,26916,"Sherburne County, Minnesota",430,30,211,211,211,211,211,211,211,122,16,203,321,488,466,483,1464,821,916,1475,1272,1298,926,519,252,,,,,,,,,,,,,,2118
"G2701450","2010",,,"Minnesota","27","Stearns County","145",,,,,,,,,,,,,,,,,"Stearns County, Minnesota",91919,633,74,0,79,116,114,77,41,595,316,2956,786,1194,977,1414,24149,2257,6766,16548,11675,14731,3900,1579,942,139771,129493,4056,39,2222,103,409,124,312,586,112,704,1611,23868,"Stearns County, Minnesota",1026,441,116,211,129,139,134,97,55,284,373,644,324,570,336,432,1677,662,1133,1576,1621,1537,779,548,327,691,1582,608,66,606,112,305,131,209,529,183,467,792,1010
"G2701630","2010",,,"Minnesota","27","Washington County","163",,,,,,,,,,,,,,,,,"Washington County, Minnesota",158960,611,0,0,212,0,220,0,19,281,122,573,227,1355,1367,1367,32159,3475,11588,23649,15788,46334,14024,3603,1986,223419,203115,6582,491,688,312,2028,208,2249,542,260,5405,1539,34054,"Washington County, Minnesota",649,346,211,211,261,211,366,211,30,246,146,297,253,596,602,539,2231,904,1447,2160,1567,2675,1750,656,626,163,2113,1534,328,353,504,926,277,1379,646,254,1833,973,1318
"G2701710","2010",,,"Minnesota","27","Wright County","171",,,,,,,,,,,,,,,,,"Wright County, Minnesota",79353,633,0,0,78,0,0,17,0,81,0,1032,293,696,1362,836,23928,1456,5344,13285,9646,14677,4709,810,470,,,,,,,,,,,,,,27983,"Wright County, Minnesota",529,370,211,211,128,211,211,29,211,123,211,525,146,394,616,410,1827,557,758,1549,1269,1534,938,399,344,,,,,,,,,,,,,,1109
"G2800330","2010",,,"Mississippi","28","DeSoto County","033",,,,,,,,,,,,,,,,,"DeSoto County, Mississippi",102543,599,0,0,0,0,0,212,209,793,642,1429,1208,2540,1433,2203,26032,4459,8224,19558,11739,15342,4825,663,433,,,,,,,,,,,,,,23278,"DeSoto County, Mississippi",805,354,287,287,287,287,287,218,211,875,415,597,676,900,733,794,2496,1117,1517,2171,1852,2316,1148,418,285,,,,,,,,,,,,,,1125
"G2800350","2010",,,"Mississippi","28","Forrest County","035",,,,,,,,,,,,,,,,,"Forrest County, Mississippi",44877,356,0,0,0,0,0,0,220,304,515,1007,1767,2003,1398,1257,10204,1625,2950,6822,3186,6136,3988,536,603,,,,,,,,,,,,,,17716,"Forrest County, Mississippi",505,384,287,287,287,287,287,287,196,269,400,612,797,722,805,548,1631,688,800,1122,868,1055,805,326,298,,,,,,,,,,,,,,2082
"G2800470","2010",,,"Mississippi","28","Harrison County","047",,,,,,,,,,,,,,,,,"Harrison County, Mississippi",121408,1477,0,0,37,80,168,0,307,901,527,2319,2259,3172,3990,1027,28769,8725,8274,22448,10428,17089,6555,1437,1419,174373,161588,7493,342,401,251,334,64,773,1949,857,166,155,21330,"Harrison County, Mississippi",538,920,287,287,62,133,170,287,268,437,272,907,1000,926,1237,457,2895,1823,1558,2326,1528,2115,1278,774,957,503,1848,1522,328,341,336,258,92,822,897,651,184,197,1236
"G2800490","2010",,,"Mississippi","28","Hinds County","049",,,,,,,,,,,,,,,,,"Hinds County, Mississippi",152472,1603,54,61,89,91,81,109,398,812,1207,2508,2918,5103,5687,3183,29687,5645,6184,34606,11234,25853,10738,3431,1190,,,,,,,,,,,,,,19662,"Hinds County, Mississippi",866,585,87,99,132,133,139,125,264,533,537,813,1102,1483,1378,846,2791,911,1387,3307,1776,2353,1724,825,491,,,,,,,,,,,,,,1036
"G2800590","2010",,,"Mississippi","28","Jackson County","059",,,,,,,,,,,,,,,,,"Jackson County, Mississippi",91470,455,0,0,0,155,81,81,0,688,429,1821,3157,2284,1230,2142,23921,6427,7474,13330,10748,11148,4015,860,1024,,,,,,,,,,,,,,21678,"Jackson County, Mississippi",782,362,287,287,287,286,107,101,287,444,331,795,1132,860,528,785,2080,1442,1398,1918,1792,1961,1139,515,689,,,,,,,,,,,,,,1399
"G2800670","2010",,,"Mississippi","28","Jones County","067",,,,,,,,,,,,,,,,,"Jones County, Mississippi",43602,229,0,0,0,66,128,72,81,114,165,1451,1984,1097,3655,1646,9210,2020,3271,7421,4710,4119,1599,252,312,,,,,,,,,,,,,,16817,"Jones County, Mississippi",1119,233,287,287,287,111,168,116,132,141,167,602,762,549,1357,1038,1375,633,1134,1405,1186,1010,796,222,261,,,,,,,,,,,,,,1686
"G2800750","2010",,,"Mississippi","28","Lauderdale County","075",,,,,,,,,,,,,,,,,"Lauderdale County, Mississippi",51280,424,0,0,29,183,0,58,0,639,1130,673,1608,2623,1522,1170,10852,3315,4289,8649,4630,6065,2160,609,652,,,,,,,,,,,,,,19592,"Lauderdale County, Mississippi",695,311,287,287,52,186,287,91,287,483,738,379,649,953,571,530,1474,911,1021,1380,1165,1350,695,363,431,,,,,,,,,,,,,,2092
"G2800810","2010",,,"Mississippi","28","Lee County","081",,,,,,,,,,,,,,,,,"Lee County, Mississippi",53668,298,0,0,72,0,389,282,173,448,720,1315,1495,2435,2391,317,13761,2699,3134,9179,4250,6868,2174,851,417,,,,,,,,,,,,,,20345,"Lee County, Mississippi",463,240,287,287,118,287,333,326,222,360,468,588,748,876,786,200,1952,879,871,1313,1015,1331,737,383,316,,,,,,,,,,,,,,2433
"G2800890","2010",,,"Mississippi","28","Madison County","089",,,,,,,,,,,,,,,,,"Madison County, Mississippi",62272,502,0,0,0,0,168,403,0,0,424,509,233,1178,977,919,9987,2270,2438,11569,3017,15554,7276,3455,1393,,,,,,,,,,,,,,30099,"Madison County, Mississippi",779,432,287,287,287,287,189,376,287,287,469,362,259,545,587,447,1578,863,722,1698,806,1554,1620,1089,597,,,,,,,,,,,,,,2656
"G2801210","2010",,,"Mississippi","28","Rankin County","121",,,,,,,,,,,,,,,,,"Rankin County, Mississippi",94978,1728,0,0,0,0,318,70,283,493,560,983,1209,3483,2679,1081,19559,6729,5538,18734,8283,15212,6338,934,764,,,,,,,,,,,,,,24115,"Rankin County, Mississippi",656,1232,287,287,287,287,240,122,244,451,466,469,664,1057,752,562,2459,1171,1199,2148,1451,1847,1168,445,454,,,,,,,,,,,,,,1641
"G2900190","2010",,,"Missouri","29","Boone County","019",,,,,,,,,,,,,,,,,"Boone County, Missouri",93416,45,0,0,0,0,0,0,207,139,0,870,752,2466,990,1101,16462,1765,4944,11297,5085,27314,12852,3278,3849,152904,140318,2475,598,180,487,2547,556,2087,583,287,445,2341,24402,"Boone County, Missouri",1053,73,259,259,259,259,259,259,245,149,259,443,489,969,522,530,2165,570,1028,1769,1114,2267,1845,893,940,524,2112,790,507,138,455,1073,393,829,532,349,373,1327,1560
"G2900210","2010",,,"Missouri","29","Buchanan County","021",,,,,,,,,,,,,,,,,"Buchanan County, Missouri",58385,899,0,0,0,0,34,0,52,90,267,1303,1240,1531,1144,566,19303,4631,4371,8036,2798,8084,2939,801,296,,,,,,,,,,,,,,23239,"Buchanan County, Missouri",851,495,259,259,259,259,58,259,87,107,252,655,711,607,428,358,1836,957,926,1279,617,1559,836,447,224,,,,,,,,,,,,,,4958
"G2900310","2010",,,"Missouri","29","Cape Girardeau County","031",,,,,,,,,,,,,,,,,"Cape Girardeau County, Missouri",49486,359,0,0,0,29,187,0,252,275,175,2084,1053,1250,1614,153,14829,1858,2756,6348,2819,9187,3121,782,355,,,,,,,,,,,,,,22876,"Cape Girardeau County, Missouri",408,276,259,259,259,51,190,259,319,222,231,614,585,539,716,151,1188,611,720,1071,800,1151,958,367,254,,,,,,,,,,,,,,2171
"G2900370","2010",,,"Missouri","29","Cass County","037",,,,,,,,,,,,,,,,,"Cass County, Missouri",65875,537,0,0,0,60,13,0,23,216,114,625,713,974,1578,1007,20036,2388,6773,10577,4799,10792,3584,972,94,,,,,,,,,,,,,,25373,"Cass County, Missouri",335,428,259,259,259,107,22,259,39,273,122,391,379,409,542,442,1654,621,1112,1513,961,1667,673,421,104,,,,,,,,,,,,,,1508
"G2900430","2010",,,"Missouri","29","Christian County","043",,,,,,,,,,,,,,,,,"Christian County, Missouri",50746,309,0,0,0,0,0,0,0,397,0,389,422,476,1491,699,14243,1450,4228,9358,3526,10152,2465,801,340,,,,,,,,,,,,,,24319,"Christian County, Missouri",244,196,259,259,259,259,259,259,259,307,259,214,279,275,463,421,2115,485,864,1426,1046,1388,690,463,193,,,,,,,,,,,,,,1753
"G2900470","2010",,,"Missouri","29","Clay County","047",,,,,,,,,,,,,,,,,"Clay County, Missouri",147542,1079,0,0,0,0,0,0,333,199,122,1592,980,1928,2577,2169,33866,6066,14730,27156,10774,29418,11604,1825,1124,206511,191670,6496,313,699,800,1262,95,128,1135,292,844,2777,26645,"Clay County, Missouri",863,702,259,259,259,259,259,259,271,173,141,682,504,704,765,608,2518,1564,1818,2413,1521,2200,1712,625,417,61,2558,1370,257,617,817,727,155,166,843,297,686,1490,873
"G2900510","2010",,,"Missouri","29","Cole County","051",,,,,,,,,,,,,,,,,"Cole County, Missouri",48810,557,0,0,0,0,0,0,0,195,141,952,1174,1141,691,209,12732,1724,2837,8387,3620,9264,3916,1073,197,,,,,,,,,,,,,,24245,"Cole County, Missouri",4229,507,259,259,259,259,259,259,259,269,160,280,568,608,366,187,1634,627,837,1410,975,1602,872,520,209,,,,,,,,,,,,,,2520
"G2900710","2010",,,"Missouri","29","Franklin County","071",,,,,,,,,,,,,,,,,"Franklin County, Missouri",68617,292,0,0,0,0,18,0,10,130,320,2814,600,2095,1907,548,23302,4313,5803,10251,5876,6568,2946,694,130,,,,,,,,,,,,,,21449,"Franklin County, Missouri",307,236,259,259,259,259,31,259,16,141,298,1240,296,707,762,323,2307,1356,1263,1614,1116,1234,853,384,126,,,,,,,,,,,,,,1375
"G2900770","2010",,,"Missouri","29","Greene County","077",,,,,,,,,,,,,,,,,"Greene County, Missouri",179432,1107,0,0,0,0,61,65,47,745,504,2216,2293,5087,3686,1637,46665,6712,13192,32928,13377,31606,11963,3541,2000,258684,246558,5788,498,1261,206,911,218,1693,459,303,523,266,21080,"Greene County, Missouri",806,670,259,259,259,259,103,106,77,567,323,780,935,1188,927,592,3347,1277,1593,2454,1913,2719,1921,904,798,323,1836,1334,461,762,281,503,229,702,450,375,428,217,818
"G2900950","2010",,,"Missouri","29","Jackson County","095",,,,,,,,,,,,,,,,,"Jackson County, Missouri",446821,3476,102,0,0,584,235,719,741,3351,747,4605,7810,11669,15547,8132,110651,19675,32540,76733,29155,72721,33775,8706,5147,627458,570870,38210,3089,958,188,2995,399,2122,2697,513,1517,3900,24367,"Jackson County, Missouri",502,1224,166,259,259,638,275,469,486,1050,348,1034,1588,2210,2290,1768,4944,2419,2616,5211,2311,5137,2928,1382,1201,307,4487,3489,1008,395,236,1703,457,941,1199,317,901,2399,609
"G2900970","2010",,,"Missouri","29","Jasper County","097",,,,,,,,,,,,,,,,,"Jasper County, Missouri",75677,704,15,0,0,297,0,211,274,465,667,2112,2003,2962,2877,1750,18971,4226,6340,12170,5206,10522,2895,584,426,,,,,,,,,,,,,,20202,"Jasper County, Missouri",883,561,25,259,259,442,259,338,288,384,390,718,761,972,767,604,1634,896,973,1802,1067,1182,836,413,302,,,,,,,,,,,,,,1757
"G2900990","2010",,,"Missouri","29","Jefferson County","099",,,,,,,,,,,,,,,,,"Jefferson County, Missouri",145843,1009,0,95,0,0,0,0,57,74,834,4272,2627,3773,4294,3393,39846,11551,13670,24806,12770,15605,5892,544,731,,,,,,,,,,,,,,22761,"Jefferson County, Missouri",501,453,259,153,259,259,259,259,96,120,534,893,1061,915,1321,1098,3062,1768,1981,2735,1933,2032,1208,273,482,,,,,,,,,,,,,,728
"G2901650","2010",,,"Missouri","29","Platte County","165",,,,,,,,,,,,,,,,,"Platte County, Missouri",60612,191,0,0,0,56,61,136,136,0,0,237,559,657,907,736,13348,934,5123,11152,4247,14622,5706,1261,543,84292,78073,2415,416,194,185,465,1000,50,374,182,397,541,31984,"Platte County, Missouri",700,132,259,259,259,97,107,206,183,259,259,166,354,324,576,461,1793,361,966,1462,808,1643,1047,445,263,283,1407,735,363,171,241,378,902,105,428,235,403,478,1664
"G2901830","2010",,,"Missouri","29","St. Charles County","183",,,,,,,,,,,,,,,,,"St. Charles County, Missouri",238203,1020,0,54,0,61,664,0,0,706,516,2992,1273,3876,4025,3398,57507,8034,16500,37113,19565,53536,22438,2806,2119,337404,315476,7911,1889,1086,930,3350,571,1230,318,454,1289,2900,29170,"St. Charles County, Missouri",955,527,259,91,259,100,403,259,259,448,479,766,584,824,1005,943,3841,1402,1728,2826,2616,3339,2183,808,854,4,3359,1984,804,553,544,1295,507,788,387,585,618,1867,760
"G2901870","2010",,,"Missouri","29","St. Francois County","187",,,,,,,,,,,,,,,,,"St. Francois County, Missouri",45524,305,0,0,0,0,79,10,177,14,323,1521,1250,2154,2229,684,10212,3484,3954,7382,3627,5464,2046,439,170,,,,,,,,,,,,,,17905,"St. Francois County, Missouri",1273,210,259,259,259,259,153,18,129,25,396,739,418,721,715,369,1467,862,893,1387,982,1342,789,323,193,,,,,,,,,,,,,,1592
"G2901890","2010",,,"Missouri","29","St. Louis County","189",,,,,,,,,,,,,,,,,"St. Louis County, Missouri",679176,6809,128,53,0,68,268,284,653,781,502,8668,5164,10694,13697,10061,139628,19245,41531,100184,49777,162101,75811,21387,11682,940400,855384,19910,3597,5131,15131,14968,1729,6890,3071,1556,6512,6521,32249,"St. Louis County, Missouri",156,3327,159,89,259,112,223,220,513,357,342,1553,1096,1881,1862,1711,5577,2364,3537,5252,3652,6207,3602,2092,1644,297,6164,2560,1957,1405,3451,2834,1023,1980,1524,697,2163,2159,807
"G2905100","2010",,,"Missouri","29","St. Louis city","510",,,,,,,,,,,,,,,,,"St. Louis city, Missouri",212328,2964,0,0,193,268,607,570,629,1208,1127,4419,3925,7617,9645,6147,45804,9780,10943,32892,13149,33667,17259,5579,3936,298634,269737,8734,2830,547,3958,3330,378,1523,914,284,2851,3548,21069,"St. Louis city, Missouri",822,970,259,259,312,281,415,502,413,531,433,1212,1046,1705,1880,1364,3769,1567,1909,2999,1874,2870,2346,1183,1009,675,3103,1317,1904,276,1403,1429,408,645,662,294,1451,1581,868
"G3000130","2010",,,"Montana","30","Cascade County","013",,,,,,,,,,,,,,,,,"Cascade County, Montana",54616,371,0,0,0,0,14,0,54,85,356,672,721,822,1469,785,11866,2549,4580,11236,5204,10221,2414,1007,190,76120,71998,984,246,1249,41,347,0,0,0,288,297,670,23429,"Cascade County, Montana",686,262,237,237,237,237,25,237,66,118,261,356,349,447,477,365,1354,694,989,1701,1116,1445,685,483,166,408,1154,542,213,823,65,287,237,237,237,312,314,365,1533
"G3000290","2010",,,"Montana","30","Flathead County","029",,,,,,,,,,,,,,,,,"Flathead County, Montana",62609,382,0,0,0,0,0,34,0,53,80,1013,634,539,1248,595,20245,1730,4059,10373,4877,11355,3933,992,467,,,,,,,,,,,,,,23086,"Flathead County, Montana",589,321,237,237,237,237,237,60,237,56,122,573,425,309,598,331,1871,640,997,1558,1040,1589,1147,384,363,,,,,,,,,,,,,,1866
"G3000310","2010",,,"Montana","30","Gallatin County","031",,,,,,,,,,,,,,,,,"Gallatin County, Montana",56560,61,0,0,0,0,0,0,0,81,0,358,342,310,683,316,9658,1315,4109,11220,3497,15951,4724,2283,1652,83440,79953,1385,369,703,54,246,15,0,0,187,422,106,25850,"Gallatin County, Montana",1402,60,237,237,237,237,237,237,237,134,237,256,234,236,324,263,1497,514,939,1549,841,1644,904,714,755,607,1389,616,252,560,92,195,30,237,237,224,348,125,1496
"G3000630","2010",,,"Montana","30","Missoula County","063",,,,,,,,,,,,,,,,,"Missoula County, Montana",72133,77,54,65,0,0,20,0,0,207,0,637,562,742,640,987,13028,3088,3727,12522,6451,17804,6887,2632,2003,,,,,,,,,,,,,,24450,"Missoula County, Montana",821,128,90,108,237,237,34,237,237,322,237,426,364,463,513,466,1900,976,759,1917,1290,1761,1331,730,649,,,,,,,,,,,,,,1592
"G3001110","2010",,,"Montana","30","Yellowstone County","111",,,,,,,,,,,,,,,,,"Yellowstone County, Montana",101021,442,0,0,0,35,0,64,0,59,82,892,795,2135,1168,2236,25496,4805,6377,17863,6913,23165,4985,2485,1024,138111,132161,1713,326,1076,65,671,44,561,0,60,45,1389,25719,"Yellowstone County, Montana",677,312,237,237,237,60,237,99,237,75,89,341,572,1051,552,774,2148,948,1182,1683,1379,2399,1110,800,575,176,1626,778,224,574,111,514,75,528,237,101,82,884,1397
"G3100550","2010",,,"Nebraska","31","Douglas County","055",,,,,,,,,,,,,,,,,"Douglas County, Nebraska",329991,1566,45,27,450,1200,545,978,352,3266,1063,5511,4126,3806,5654,4248,60882,12019,21818,60957,21823,80946,25800,7262,5647,478857,414256,42214,1896,1372,1826,4785,675,1083,1013,127,4854,4756,27060,"Douglas County, Nebraska",699,509,75,44,425,546,320,596,271,1060,613,1179,1353,976,1263,1090,3748,2061,2494,3365,2279,3410,2071,1053,1212,184,4617,3181,872,560,592,1766,799,826,956,215,2049,2734,853
"G3101090","2010",,,"Nebraska","31","Lancaster County","109",,,,,,,,,,,,,,,,,"Lancaster County, Nebraska",178685,2027,63,0,164,0,100,210,737,1438,167,912,1370,1505,1684,1982,36833,6454,13354,29076,19695,40095,12352,4024,4443,265892,235911,10143,1101,1957,2632,3211,28,1433,4651,166,1095,3564,25292,"Lancaster County, Nebraska",1274,792,102,228,249,228,119,192,699,651,159,507,681,652,648,642,2899,1366,1675,2574,2030,2805,1813,980,965,387,3974,1452,753,918,1227,2561,47,910,1414,204,693,2213,982
"G3101530","2010",,,"Nebraska","31","Sarpy County","153",,,,,,,,,,,,,,,,,"Sarpy County, Nebraska",99510,514,0,0,0,0,121,0,0,293,120,738,384,855,753,1756,19966,2205,8439,16075,9119,25339,10146,1844,843,146227,134998,5501,676,649,493,1816,0,276,0,566,554,698,28645,"Sarpy County, Nebraska",705,351,228,228,228,228,152,228,228,363,139,463,415,524,471,968,1939,715,1438,1866,1302,1829,1454,682,340,453,2075,1439,536,420,373,1125,228,450,228,384,522,564,1034
"G3200030","2010",,,"Nevada","32","Clark County","003",,,,,,,,,,,,,,,,,"Clark County, Nevada",1286065,16906,220,342,1251,2401,4554,4469,4738,32448,4924,15803,25208,23748,36153,34008,338461,45311,89410,236170,91153,186313,62679,19835,9560,1815349,1226485,405207,6465,6645,11821,24093,9440,24195,5286,60961,20055,14696,24748,"Clark County, Nevada",1002,2080,211,301,675,919,1174,1335,1420,3373,1213,2591,3129,2947,3947,3401,9958,3545,4593,8563,5345,7273,4189,2230,1480,938,11529,9642,1855,1284,2573,4482,3047,4360,2324,5193,3100,3541,420
"G3200310","2010",,,"Nevada","32","Washoe County","031",,,,,,,,,,,,,,,,,"Washoe County, Nevada",279471,1738,0,0,365,751,1342,100,894,4539,611,3646,4007,4298,8091,5296,62832,9865,19881,58151,20134,46639,16877,6318,3096,394515,307242,64426,1283,1650,900,3709,846,3598,1038,6457,2565,801,27572,"Washoe County, Nevada",735,849,309,309,409,695,812,176,777,1310,522,1230,1069,1342,1679,1649,4439,1882,2103,4186,2358,3863,1924,1202,984,0,4961,3540,562,640,424,1633,1216,1969,906,1785,1191,478,1401
"G3300050","2010",,,"New Hampshire","33","Cheshire County","005",,,,,,,,,,,,,,,,,"Cheshire County, New Hampshire",51310,169,57,0,26,0,97,0,218,82,432,340,486,855,1467,774,16120,2098,2974,6916,4344,8619,4161,383,692,,,,,,,,,,,,,,25681,"Cheshire County, New Hampshire",438,175,88,257,43,257,118,257,280,138,412,216,472,423,692,363,1573,622,758,1077,870,1405,766,271,341,,,,,,,,,,,,,,1854
"G3300090","2010",,,"New Hampshire","33","Grafton County","009",,,,,,,,,,,,,,,,,"Grafton County, New Hampshire",60630,549,0,0,0,0,0,151,97,357,114,759,836,916,1578,504,16461,2147,2747,7840,4504,12671,5165,1852,1382,84780,79374,1206,1053,512,531,324,121,617,0,319,398,325,26498,"Grafton County, New Hampshire",615,355,257,257,257,257,257,194,123,337,93,275,321,423,749,218,1847,699,786,1217,862,1792,1021,451,457,369,1228,412,364,327,645,173,167,563,257,397,406,380,1402
"G3300110","2010",,,"New Hampshire","33","Hillsborough County","011",,,,,,,,,,,,,,,,,"Hillsborough County, New Hampshire",272237,2096,0,0,65,306,298,286,421,1893,967,3970,3641,4465,4280,2755,66519,9605,15988,32719,26334,58678,28722,5964,2265,377408,329635,14574,9765,1316,1734,11002,592,1814,2975,195,1595,2211,33406,"Hillsborough County, New Hampshire",1099,683,257,257,79,297,323,368,384,966,555,980,1147,989,937,800,3703,1595,1903,2755,2376,3108,2665,1340,709,5,4448,2201,1696,550,1100,2803,542,774,1239,247,915,928,1724
"G3300130","2010",,,"New Hampshire","33","Merrimack County","013",,,,,,,,,,,,,,,,,"Merrimack County, New Hampshire",101573,422,0,0,0,0,0,0,0,262,552,933,951,1464,1892,1355,26941,5529,5602,13774,9622,19032,8888,2882,1472,139301,131483,1006,1724,542,491,1998,41,261,0,114,476,1165,29416,"Merrimack County, New Hampshire",409,354,257,257,257,257,257,257,257,310,424,466,445,431,701,504,2716,970,1216,1599,1375,1901,1285,1029,512,246,1500,414,613,484,340,962,73,487,257,200,403,901,1705
"G3300150","2010",,,"New Hampshire","33","Rockingham County","015",,,,,,,,,,,,,,,,,"Rockingham County, New Hampshire",206636,689,0,0,0,0,0,0,232,63,74,2212,2372,2348,2329,2277,52090,5475,12930,26204,20484,48618,22177,3251,2811,280346,263708,4871,3287,503,1039,3169,417,1075,376,469,646,786,35272,"Rockingham County, New Hampshire",666,409,257,257,257,257,257,257,304,103,113,1194,806,836,772,712,3256,1137,1669,2776,2098,3779,2292,974,1071,393,2088,926,814,360,743,1136,418,625,305,540,479,538,1210
"G3300170","2010",,,"New Hampshire","33","Strafford County","017",,,,,,,,,,,,,,,,,"Strafford County, New Hampshire",79497,466,0,0,0,0,60,28,178,108,0,1321,1940,1470,858,1034,20163,3614,4999,10482,10239,14843,5750,1130,814,116571,108267,2345,1627,532,372,1408,0,212,159,57,1226,366,26602,"Strafford County, New Hampshire",820,354,257,257,257,257,103,50,340,138,257,629,819,562,369,640,1959,898,1099,1838,1551,1941,1295,428,341,365,1764,1325,560,333,336,614,257,172,131,97,911,376,2211
