GISJOIN,id,Temp,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001
G0500190,05001,G05001,2010,3,7,Arkansas,5,Clark County,19,,,,,,,,,,,,,,11660,99999,999,,,,,,,,,,,,,,Clark County,,22995
G0500210,05002,G05002,2010,3,7,Arkansas,5,Clay County,21,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Clay County,,16083
G0500230,05002,G05002,2010,3,7,Arkansas,5,Cleburne County,23,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Cleburne County,,25970
G0500250,05002,G05002,2010,3,7,Arkansas,5,Cleveland County,25,,,,,,,,,,,,,,38220,99999,340,,,,,,,,,,,,,,Cleveland County,,8689
G0500270,05002,G05002,2010,3,7,Arkansas,5,Columbia County,27,,,,,,,,,,,,,,31620,99999,999,,,,,,,,,,,,,,Columbia County,,24552
G0500290,05002,G05002,2010,3,7,Arkansas,5,Conway County,29,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Conway County,,21273
G0500310,05003,G05003,2010,3,7,Arkansas,5,Craighead County,31,,,,,,,,,,,,,,27860,99999,308,,,,,,,,,,,,,,Craighead County,,96443
G0500330,05003,G05003,2010,3,7,Arkansas,5,Crawford County,33,,,,,,,,,,,,,,22900,99999,999,,,,,,,,,,,,,,Crawford County,,61948
G0500350,05003,G05003,2010,3,7,Arkansas,5,Crittenden County,35,,,,,,,,,,,,,,32820,99999,999,,,,,,,,,,,,,,Crittenden County,,50902
G0500370,05003,G05003,2010,3,7,Arkansas,5,Cross County,37,,,,,,,,,,,,,,99999,99999,999,,,,,,,,,,,,,,Cross County,,17870
