"","fips","State","State.of.emergency","Date.closed.K.12.schools","Closed.day.cares","Date.banned.visitors.to.nursing.homes","Stay.at.home..shelter.in.place","Closed.non.essential.businesses","Religious.Gatherings.Exempt.Without.Clear.Social.Distance.Mandate.","Alcohol.Liquor.Stores.Open","Keep.Firearms.Sellers.Open","Closed.restaurants.except.take.out","Closed.gyms","Closed.movie.theaters","Froze.evictions","Order.freezing.utility.shut.offs","Froze.mortgage.payments","Expand.Medicaid.access.with.1135..waivers..date.of.CMS.approval.","Reopened.ACA.enrollment.using.a.special.enrollment.period","Suspended.elective.medical.dental.procedures","Resumed.elective.medical.procedures","Waived.one.week.waiting.period.for.unemployment.insurance","Waive.work.search.requirement.for.unemployment.insurance","Expand.eligibility.of.unemployment.insurance.to.anyonewho.is.quarantined.and.or.taking.care.of.someone.who.is.quarantined","Expand.eligibility.of.unemployment.insurance.to.those.who.have.lost.childcare.school.closures","Extend.the.amount.of.time.an.individual.can.be.on.unemployment.insurance","Paid.sick.leave","Population.density.per.square.miles","Population.2018","Square.Miles","Number.Homeless..2019.","Percent.Unemployed..2018.","Percent.living.under.the.federal.poverty.line..2018.","Percent.at.risk.for.serious.illness.due.to.COVID","All.cause.deaths.2016"
"42",46,"South Dakota","3/13/20","3/16/20","0","0","0","0",0,1,1,"0","0","0","0","0","0","3/24/20","0","3/23/20","0","0",1,1,1,0,0,"11.44","882235",77116,"995",3,13.1,35.3,"7,845"
"43",47,"Tennessee","3/12/20","3/20/20","0","3/23/20","4/2/20","4/1/20",1,1,1,"3/23/20","3/23/20","3/23/20","3/25/20","3/31/20","0","3/30/20","0","3/24/20","0","3/19/20",1,1,1,0,0,"160.64","6770010",42144,"7467",5.5,15.3,41.6,"67,857"
"44",48,"Texas","3/19/20","3/23/20","0","3/21/20","0","3/31/20",1,1,1,"3/21/20","3/21/20","3/31/20","3/19/20","3/26/20","0","3/30/20","0","3/22/20","4/21/20","3/17/20",1,1,0,0,0,"106.86","28701845",268596,"25,848",4.9,14.9,34.8,"191,966"
"45",49,"Utah","3/6/20","3/16/20","0","4/1/20","0","0",0,1,1,"3/19/20","0","0","4/1/20","0","0","4/10/20","0","3/25/20","0","0",0,1,0,0,0,"37.23","3161105",84897,"2,798",3.2,9,30,"17,913"
"46",50,"Vermont","3/13/20","3/18/20","3/18/20","3/13/20","3/25/20","3/25/20",0,1,1,"3/17/20","3/23/20","3/25/20","0","3/27/20","0","3/30/20","3/20/20","3/20/20","0","3/13/20",1,1,1,0,1,"65.13","626299",9616,"1,089",3.8,11,39.1,"5,909"
"47",51,"Virginia","3/12/20","3/16/20","0","0","3/30/20","0",0,1,0,"3/25/20","3/25/20","3/25/20","0","3/16/20","0","3/23/20","0","3/25/20","0","3/17/20",1,1,1,0,0,"199.13","8517685",42775,"5,783",4.2,10.7,35.9,"66,473"
"48",53,"Washington","2/29/20","3/17/20","0","3/16/20","3/23/20","3/25/20",0,1,0,"3/16/20","3/16/20","3/16/20","3/18/20","3/18/20","0","3/19/20","3/10/20","3/19/20","0","3/18/20",1,1,0,0,1,"105.69","7535591",71298,"21577",4.3,10.3,35.1,"54,769"
"49",54,"West Virginia","3/16/20","3/16/20","3/26/20","0","3/24/20","3/24/20",1,1,1,"3/18/20","3/19/20","3/24/20","0","0","0","3/30/20","0","4/1/20","0","3/19/20",1,1,0,0,0,"74.53","1805832",24230,"1,397",5.8,17.8,49.3,"22,732"
"50",55,"Wisconsin","3/12/20","3/19/20","0","0","3/25/20","3/25/20",0,1,1,"3/17/20","3/25/20","3/25/20","3/27/20","3/22/20","0","4/20/20","0","0","0","0",1,1,1,0,0,"88.76","5813568",65496,"4,538",3.2,11,36.5,"51,815"
"51",56,"Wyoming","3/13/20","3/19/20","3/19/20","0","0","0",0,1,1,"3/19/20","3/19/20","3/19/20","0","0","0","3/27/20","0","0","0","1/1/20",1,0,0,0,0,"5.91","577737",97813,"548",3.9,11.1,36.4,"4,722"
