"","AsiaPop10k","Foreign10K","IncomeIneq","EuropePop10k","Urban10k","white10k","insured18to35_per10k","insured35to64_per10k","med_age","Death","Fatality_Rate","ConfirmedPer10K","TotalPop","fips","county_name"
"147",319.564076251603,889.575740261516,0.46,106.255537337539,9864.59678154122,6924.59434044975,2844.13420486214,578.834538538256,33.4,0,0,0,1163414,"39049","Franklin County"
"148",61.6454007748189,196.521286263173,0.44,72.8053440185361,8646.99429691203,8871.23055704952,1979.85285368552,658.174211975761,40.6,0,0,0,375586,"39151","Stark County"
"149",184.608303415263,418.061309030655,0.456,144.269538801436,9612.33413501027,8056.52099279967,2104.58680244445,572.410348691262,39.5,0,0,0,541781,"39153","Summit County"
"150",39.7123789829871,158.379546949901,0.418,92.7248801579096,7272.67107915858,8896.92456921146,1813.00255141488,643.652389052111,42,0,0,0,210312,"39155","Trumbull County"
"151",242.421057266595,978.121453418425,0.49,47.5410604483092,9372.46132587844,6462.08843735258,2550.36066799846,792.513626094621,34.4,0,0,0,718633,"40109","Oklahoma County"
"152",272.14300756249,1590.87383143938,0.452,155.826742478162,9763.62003050994,7300.74818246336,2400.34690361382,683.859178847207,34.1,0,0,0,3817117,"4013","Maricopa County"
"153",181.532393850349,747.969078790078,0.478,58.6682311528307,9522.06071232659,6917.64873558799,2415.05595116989,793.105748544936,35.3,0,0,0,603403,"40143","Tulsa County"
"154",204.995116448341,1321.88722832004,0.458,138.429507849972,9247.65088552766,7434.23958672315,2340.94992256066,603.118224057821,37.3,0,0,0,980263,"4019","Pima County"
"155",106.13519102816,1050.75357504016,0.396,86.5480098512893,7809.53774915507,7238.81629720308,2047.73887006762,649.816551161843,35.7,0,0,1,375770,"4021","Pinal County"
"156",251.728168128288,847.065555672521,0.44,205.166824570354,8192.14238600821,8818.56528862316,1871.63682353724,630.366770951208,39.8,0,0,0,375992,"41005","Clackamas County"
"157",72.7188033745665,465.490916619223,0.43,91.2866828839087,7235.64504574186,9216.46072793899,2033.66879215751,774.077064406823,39.7,0,0,1,157733,"41017","Deschutes County"
"158",60.5359624658378,266.208993647921,0.414,62.4947532390005,5882.21089098795,9238.76396667503,1719.77872324439,851.671315732627,45.3,0,0,0,107667,"41019","Douglas County"
"159",86.0474507321013,573.068045287082,0.442,105.290971000115,7994.74424967767,8866.47047823391,2013.08272990317,995.34957590316,41.7,0,0,0,203206,"41029","Jackson County"
"160",81.4792543595911,485.267588695129,0.44,99.6692723992784,6241.94034347695,8589.78608014462,1885.30310314346,902.873625606749,41.4,0,0,1,66380,"41035","Klamath County"
"161",57.7352053536281,422.079342168569,0.405,57.647727769759,6836.1732035107,9056.92882611081,2083.47591021079,809.095264166438,39,0,0,6,116672,"41043","Linn County"
"162",152.665104842301,1414.41912395852,0.422,118.395322271486,8690.63059920402,7822.03053895064,2264.31344361233,730.541714019291,35,0,0,0,315335,"41047","Marion County"
"163",469.161671600874,1373.52605767124,0.468,303.032430944503,9865.77528034879,7648.5107447772,2828.1875740795,749.718737425305,35.8,0,0,0,735334,"41051","Multnomah County"
"164",136.009220964133,706.624177910367,0.41,75.93735168486,8007.37371192128,8594.88349269923,NA,NA,37.2,0,0,1,75403,"41053","Polk County"
